"Date Made Public","Company","Location","Type of breach","Type of organization","Records Breached","Total Records","Description of incident","Information Source","Source URL"
"March 17, 2016","Hospital fo Special Surgery","New York, New York","HACK","MED","647","Unknown","As reported by Health and Human Services unauthorized access/disclosure email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 18, 2016","Lindsay House Surgery Center, LLC","Rochester, New York","PHYS","MED","773","Unknown","As reported by Health and Human Services theft/paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 18, 2016","Val Verde Regional Medical Center","Del Rio, Texas","HACK","MED","2,000","Unknown","As reported by Health and Human Services hacking/IT incident/desktop computer/electronic medical records/email/laptop/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 21, 2016","Bozeman Health Deaconess Hospital","Bozeman, Montana","DISC","MED","1,124","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 21, 2016","National Counseling Group","Richmond, Virginia","HACK","MED","23,000","Unknown","As reported by Health and Human Services hacking/IT incident/email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 22, 2016","Metropolitan Jewish Health System, Inc. d/b/a MJHS","Brooklyn, New York","HACK","MED","2,483","Unknown","As reported by Health and Human Services hacking/IT incident/email. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 23, 2016","Excel Plus Home Health, Inc.","Plano, Texas","PORT","MED","524","Unknown","As reported by Health and Human Services theft/desktop computer,other portable electronic device. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 24, 2016","Morton Medical Center","Morton, Washington","HACK","MED","3,000","Unknown","As reported by Health and Human Services hacking/IT incident/destop computer/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 25, 2016","Mercy Iowa City","Iowa City, Iowa","HACK","MED","15,625","Unknown","As reported by Health and Human Services hacking/IT incident/desktop computer/email/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 1, 2016","Aurora Health Care, Inc.","Milwaukee, Wisconsin","HACK","MED","869","Unknown","As reported by Health and Human Services unauthorized access/disclosure network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 1, 2016","Pointe Medical Services, Inc.","Orange Park, Florida","PORT","MED","2,000","Unknown","As reported by Health and Human Services theft/desktop computer, other portable electronic device. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 1, 2016","Einstein Healthcare Network","Philadelphia, Pennsylvania","DISC","MED","2,939","Unknown","As reported by Health and Human Services unauthorized access/disclosure other. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 5, 2016","Sisters of Charity of Leavenworth Health System Health Benefits","Broomfield, Colorado","DISC","MED","540","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 5, 2016","Target Corporation Health Plan","Minneapolis, Minnesota","DISC","MED","719","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 5, 2016","Pacific Gas and Electric","San Diego, California","DISC","MED","2,426","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"April 7, 2016","RMA Medical Centers of Florida","Pembroke Pines, Florida","PORT","MED","3,906","Unknown","As reported by Health and Human Services theft/laptop. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
